( X, Y, Tip, Ödül Puaný ) 
( 0, 0, Yol, 0 )
( 0, 1, Yol, 0 )
( 0, 2, Engel, -5 )
( 0, 3, Yol, 0 )
( 0, 4, Yol, 0 )
( 0, 5, Engel, -5 )
( 0, 6, Engel, -5 )
( 0, 7, Engel, -5 )
( 0, 8, Engel, -5 )
( 0, 9, Engel, -5 )
( 0, 10, Yol, 0 )
( 0, 11, Engel, -5 )
( 0, 12, Engel, -5 )
( 0, 13, Engel, -5 )
( 0, 14, Engel, -5 )
( 0, 15, Yol, 0 )
( 0, 16, Yol, 0 )
( 0, 17, Yol, 0 )
( 0, 18, Yol, 0 )
( 0, 19, Yol, 0 )
( 0, 20, Engel, -5 )
( 0, 21, Yol, 0 )
( 0, 22, Engel, -5 )
( 0, 23, Yol, 0 )
( 0, 24, Yol, 0 )
( 0, 25, Yol, 0 )
( 0, 26, Engel, -5 )
( 0, 27, Engel, -5 )
( 0, 28, Yol, 0 )
( 0, 29, Yol, 0 )
( 0, 30, Engel, -5 )
( 0, 31, Yol, 0 )
( 0, 32, Yol, 0 )
( 0, 33, Yol, 0 )
( 0, 34, Engel, -5 )
( 0, 35, Yol, 0 )
( 0, 36, Engel, -5 )
( 0, 37, Yol, 0 )
( 0, 38, Yol, 0 )
( 0, 39, Yol, 0 )
( 0, 40, Yol, 0 )
( 0, 41, Engel, -5 )
( 0, 42, Engel, -5 )
( 0, 43, Yol, 0 )
( 0, 44, Engel, -5 )
( 0, 45, Yol, 0 )
( 0, 46, Engel, -5 )
( 0, 47, Yol, 0 )
( 0, 48, Yol, 0 )
( 0, 49, Yol, 0 )
( 1, 0, Engel, -5 )
( 1, 1, Yol, 0 )
( 1, 2, Yol, 0 )
( 1, 3, Yol, 0 )
( 1, 4, Yol, 0 )
( 1, 5, Engel, -5 )
( 1, 6, Engel, -5 )
( 1, 7, Yol, 0 )
( 1, 8, Yol, 0 )
( 1, 9, Engel, -5 )
( 1, 10, Yol, 0 )
( 1, 11, Yol, 0 )
( 1, 12, Engel, -5 )
( 1, 13, Engel, -5 )
( 1, 14, Engel, -5 )
( 1, 15, Yol, 0 )
( 1, 16, Yol, 0 )
( 1, 17, Yol, 0 )
( 1, 18, Engel, -5 )
( 1, 19, Yol, 0 )
( 1, 20, Yol, 0 )
( 1, 21, Yol, 0 )
( 1, 22, Yol, 0 )
( 1, 23, Yol, 0 )
( 1, 24, Yol, 0 )
( 1, 25, Engel, -5 )
( 1, 26, Engel, -5 )
( 1, 27, Yol, 0 )
( 1, 28, Yol, 0 )
( 1, 29, Yol, 0 )
( 1, 30, Yol, 0 )
( 1, 31, Yol, 0 )
( 1, 32, Engel, -5 )
( 1, 33, Engel, -5 )
( 1, 34, Yol, 0 )
( 1, 35, Engel, -5 )
( 1, 36, Yol, 0 )
( 1, 37, Yol, 0 )
( 1, 38, Yol, 0 )
( 1, 39, Yol, 0 )
( 1, 40, Yol, 0 )
( 1, 41, Yol, 0 )
( 1, 42, Yol, 0 )
( 1, 43, Yol, 0 )
( 1, 44, Yol, 0 )
( 1, 45, Engel, -5 )
( 1, 46, Yol, 0 )
( 1, 47, Yol, 0 )
( 1, 48, Yol, 0 )
( 1, 49, Yol, 0 )
( 2, 0, Yol, 0 )
( 2, 1, Engel, -5 )
( 2, 2, Engel, -5 )
( 2, 3, Yol, 0 )
( 2, 4, Yol, 0 )
( 2, 5, Yol, 0 )
( 2, 6, Engel, -5 )
( 2, 7, Yol, 0 )
( 2, 8, Yol, 0 )
( 2, 9, Yol, 0 )
( 2, 10, Yol, 0 )
( 2, 11, Yol, 0 )
( 2, 12, Yol, 0 )
( 2, 13, Yol, 0 )
( 2, 14, Yol, 0 )
( 2, 15, Yol, 0 )
( 2, 16, Yol, 0 )
( 2, 17, Yol, 0 )
( 2, 18, Engel, -5 )
( 2, 19, Yol, 0 )
( 2, 20, Yol, 0 )
( 2, 21, Yol, 0 )
( 2, 22, Yol, 0 )
( 2, 23, Yol, 0 )
( 2, 24, Engel, -5 )
( 2, 25, Yol, 0 )
( 2, 26, Yol, 0 )
( 2, 27, Yol, 0 )
( 2, 28, Engel, -5 )
( 2, 29, Yol, 0 )
( 2, 30, Yol, 0 )
( 2, 31, Yol, 0 )
( 2, 32, Yol, 0 )
( 2, 33, Yol, 0 )
( 2, 34, Yol, 0 )
( 2, 35, Yol, 0 )
( 2, 36, Engel, -5 )
( 2, 37, Yol, 0 )
( 2, 38, Engel, -5 )
( 2, 39, Engel, -5 )
( 2, 40, Engel, -5 )
( 2, 41, Yol, 0 )
( 2, 42, Yol, 0 )
( 2, 43, Yol, 0 )
( 2, 44, Yol, 0 )
( 2, 45, Yol, 0 )
( 2, 46, Yol, 0 )
( 2, 47, Yol, 0 )
( 2, 48, Yol, 0 )
( 2, 49, Engel, -5 )
( 3, 0, Yol, 0 )
( 3, 1, Yol, 0 )
( 3, 2, Yol, 0 )
( 3, 3, Yol, 0 )
( 3, 4, Yol, 0 )
( 3, 5, Engel, -5 )
( 3, 6, Yol, 0 )
( 3, 7, Yol, 0 )
( 3, 8, Yol, 0 )
( 3, 9, Engel, -5 )
( 3, 10, Yol, 0 )
( 3, 11, Yol, 0 )
( 3, 12, Yol, 0 )
( 3, 13, Engel, -5 )
( 3, 14, Engel, -5 )
( 3, 15, Engel, -5 )
( 3, 16, Yol, 0 )
( 3, 17, Engel, -5 )
( 3, 18, Yol, 0 )
( 3, 19, Yol, 0 )
( 3, 20, Yol, 0 )
( 3, 21, Engel, -5 )
( 3, 22, Yol, 0 )
( 3, 23, Yol, 0 )
( 3, 24, Engel, -5 )
( 3, 25, Yol, 0 )
( 3, 26, Engel, -5 )
( 3, 27, Yol, 0 )
( 3, 28, Engel, -5 )
( 3, 29, Engel, -5 )
( 3, 30, Yol, 0 )
( 3, 31, Yol, 0 )
( 3, 32, Engel, -5 )
( 3, 33, Engel, -5 )
( 3, 34, Engel, -5 )
( 3, 35, Yol, 0 )
( 3, 36, Yol, 0 )
( 3, 37, Yol, 0 )
( 3, 38, Engel, -5 )
( 3, 39, Engel, -5 )
( 3, 40, Engel, -5 )
( 3, 41, Engel, -5 )
( 3, 42, Yol, 0 )
( 3, 43, Yol, 0 )
( 3, 44, Yol, 0 )
( 3, 45, Yol, 0 )
( 3, 46, Engel, -5 )
( 3, 47, Yol, 0 )
( 3, 48, Engel, -5 )
( 3, 49, Yol, 0 )
( 4, 0, Yol, 0 )
( 4, 1, Yol, 0 )
( 4, 2, Yol, 0 )
( 4, 3, Engel, -5 )
